0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84E-300,3.35E-144,2.42E-141,7.76E-140,5.89E-139,1.75E-138,2.48E-138,1.75E-138,5.89E-139,7.76E-140,2.42E-141,3.35E-144,1.84E-300,0,0,0,0,0,0,0,0,0,0,0,0
8.07E-190,1.47E-33,1.06E-30,3.40E-29,2.58E-28,7.70E-28,1.09E-27,7.70E-28,2.58E-28,3.40E-29,1.06E-30,1.47E-33,8.07E-190,0,0,0,0,0,0,0,0,0,0,0,0
1.12E-171,2.03E-15,1.47E-12,4.71E-11,3.57E-10,1.07E-09,1.51E-09,1.07E-09,3.57E-10,4.71E-11,1.47E-12,2.03E-15,1.12E-171,0,0,0,0,0,0,0,0,0,0,0,0
4.91E-167,8.94E-11,6.48E-08,2.07E-06,1.57E-05,4.69E-05,6.63E-05,4.69E-05,1.57E-05,2.07E-06,6.48E-08,8.94E-11,4.91E-167,0,0,0,0,0,0,0,0,0,0,0,0
1.38E-165,2.50E-09,1.81E-06,5.80E-05,0.000440397,0.00131213,0.00185583,0.00131213,0.000440397,5.80E-05,1.81E-06,2.50E-09,1.38E-165,0,0,0,0,0,0,0,0,0,0,0,0
4.98E-165,9.07E-09,6.57E-06,0.000210219,0.00159635,0.00475618,0.00672699,0.00475618,0.00159635,0.000210219,6.57E-06,9.07E-09,4.98E-165,0,0,0,0,0,0,0,0,0,0,0,0
1.60E-164,2.91E-08,2.11E-05,0.000674824,0.00512445,0.0152679,0.0215944,0.0152679,0.00512445,0.000674824,2.11E-05,2.91E-08,1.60E-164,0,0,0,0,0,0,0,0,0,0,0,0
6.78E-165,1.23E-08,8.94E-06,0.000286098,0.00217256,0.00647296,0.00915514,0.00647296,0.00217256,0.000286098,8.94E-06,1.23E-08,6.78E-165,0,0,0,0,0,0,0,0,0,0,0,0
3.41E-165,6.20E-09,4.49E-06,0.000143741,0.00109154,0.00325214,0.00459972,0.00325214,0.00109154,0.000143741,4.49E-06,6.20E-09,3.41E-165,0,0,0,0,0,0,0,0,0,0,0,0
2.43E-165,4.42E-09,3.20E-06,0.000102387,0.000777502,0.0023165,0.00327639,0.0023165,0.000777502,0.000102387,3.20E-06,4.42E-09,2.43E-165,0,0,0,0,0,0,0,0,0,0,0,0
1.74E-165,3.17E-09,2.29E-06,7.34E-05,0.000557586,0.00166128,0.00234966,0.00166128,0.000557586,7.34E-05,2.29E-06,3.17E-09,1.74E-165,0,0,0,0,0,0,0,0,0,0,0,0
1.25E-165,2.27E-09,1.65E-06,5.27E-05,0.000399835,0.00119127,0.0016849,0.00119127,0.000399835,5.27E-05,1.65E-06,2.27E-09,1.25E-165,0,0,0,0,0,0,0,0,0,0,0,0
9.02E-166,1.64E-09,1.19E-06,3.81E-05,0.000289021,0.000861114,0.00121793,0.000861114,0.000289021,3.81E-05,1.19E-06,1.64E-09,9.02E-166,0,0,0,0,0,0,0,0,0,0,0,0
6.60E-166,1.20E-09,8.70E-07,2.78E-05,0.000211384,0.000629801,0.00089077,0.000629801,0.000211384,2.78E-05,8.70E-07,1.20E-09,6.60E-166,0,0,0,0,0,0,0,0,0,0,0,0
4.89E-166,8.90E-10,6.45E-07,2.06E-05,0.000156647,0.000466717,0.000660109,0.000466717,0.000156647,2.06E-05,6.45E-07,8.90E-10,4.89E-166,0,0,0,0,0,0,0,0,0,0,0,0
3.67E-166,6.69E-10,4.84E-07,1.55E-05,0.000117648,0.000350522,0.000495766,0.000350522,0.000117648,1.55E-05,4.84E-07,6.69E-10,3.67E-166,0,0,0,0,0,0,0,0,0,0,0,0
2.80E-166,5.09E-10,3.68E-07,1.18E-05,8.95E-05,0.000266709,0.000377225,0.000266709,8.95E-05,1.18E-05,3.68E-07,5.09E-10,2.80E-166,0,0,0,0,0,0,0,0,0,0,0,0
2.15E-166,3.92E-10,2.84E-07,9.08E-06,6.90E-05,0.000205472,0.000290613,0.000205472,6.90E-05,9.08E-06,2.84E-07,3.92E-10,2.15E-166,0,0,0,0,0,0,0,0,0,0,0,0
1.68E-166,3.06E-10,2.21E-07,7.08E-06,5.38E-05,0.000160153,0.000226515,0.000160153,5.38E-05,7.08E-06,2.21E-07,3.06E-10,1.68E-166,0,0,0,0,0,0,0,0,0,0,0,0
1.32E-166,2.41E-10,1.74E-07,5.58E-06,4.24E-05,0.000126198,0.00017849,0.000126198,4.24E-05,5.58E-06,1.74E-07,2.41E-10,1.32E-166,0,0,0,0,0,0,0,0,0,0,0,0
1.05E-166,1.92E-10,1.39E-07,4.44E-06,3.37E-05,0.000100456,0.000142082,0.000100456,3.37E-05,4.44E-06,1.39E-07,1.92E-10,1.05E-166,0,0,0,0,0,0,0,0,0,0,0,0
8.46E-167,1.54E-10,1.11E-07,3.57E-06,2.71E-05,8.07E-05,0.000114172,8.07E-05,2.71E-05,3.57E-06,1.11E-07,1.54E-10,8.46E-167,0,0,0,0,0,0,0,0,0,0,0,0
6.86E-167,1.25E-10,9.04E-08,2.89E-06,2.20E-05,6.54E-05,9.26E-05,6.54E-05,2.20E-05,2.89E-06,9.04E-08,1.25E-10,6.86E-167,0,0,0,0,0,0,0,0,0,0,0,0
5.60E-167,1.02E-10,7.39E-08,2.36E-06,1.79E-05,5.35E-05,7.56E-05,5.35E-05,1.79E-05,2.36E-06,7.39E-08,1.02E-10,5.60E-167,0,0,0,0,0,0,0,0,0,0,0,0
4.62E-167,8.40E-11,6.08E-08,1.95E-06,1.48E-05,4.40E-05,6.23E-05,4.40E-05,1.48E-05,1.95E-06,6.08E-08,8.40E-11,4.62E-167,0,0,0,0,0,0,0,0,0,0,0,0
3.83E-167,6.97E-11,5.04E-08,1.61E-06,1.23E-05,3.65E-05,5.17E-05,3.65E-05,1.23E-05,1.61E-06,5.04E-08,6.97E-11,3.83E-167,0,0,0,0,0,0,0,0,0,0,0,0
3.20E-167,5.82E-11,4.21E-08,1.35E-06,1.02E-05,3.05E-05,4.31E-05,3.05E-05,1.02E-05,1.35E-06,4.21E-08,5.82E-11,3.20E-167,0,0,0,0,0,0,0,0,0,0,0,0
